# Atomic data exported from Geant4 G4NistManager
# Source: Geant4 $Name: geant4-11-04-beta-01 [MT]$ NIST element database
z,symbol,atomic_mass_amu
1,H,1.007940753
2,He,4.002642585
3,Li,6.940033208
4,Be,9.01218
5,B,10.8110164
6,C,12.01073638
7,N,14.00676896
8,O,15.99939041
9,F,18.9984
10,Ne,20.18001128
11,Na,22.9898
12,Mg,24.30501576
13,Al,26.9815
14,Si,28.08536146
15,P,30.9738
16,S,32.06611426
17,Cl,35.4525734
18,Ar,39.94769335
19,K,39.09829316
20,Ca,40.07803164
21,Sc,44.9559
22,Ti,47.86671733
23,V,50.941508
24,Cr,51.99613014
25,Mn,54.938
26,Fe,55.8451108
27,Co,58.9332
28,Ni,58.6933251
29,Cu,63.54564506
30,Zn,65.39552329
31,Ga,69.72308097
32,Ge,72.61278691
33,As,74.9216
34,Se,78.95937343
35,Br,79.9035138
36,Kr,83.79931751
37,Rb,85.46767642
38,Sr,87.6166395
39,Y,88.9058
40,Zr,91.22363131
41,Nb,92.9064
42,Mo,95.93128646
43,Tc,97.9072
44,Ru,101.0648188
45,Rh,102.906
46,Pd,106.4151876
47,Ag,107.86822
48,Cd,112.4114464
49,In,114.8182
50,Sn,118.7101218
51,Sb,121.7598
52,Te,127.6028203
53,I,126.904
54,Xe,131.2924485
55,Cs,132.905
56,Ba,137.3267993
57,La,138.9051009
58,Ce,140.1153108
59,Pr,140.908
60,Nd,144.236236
61,Pm,144.913
62,Sm,150.3663619
63,Eu,151.9643219
64,Gd,157.252125
65,Tb,158.925
66,Dy,162.49711
67,Ho,164.93
68,Er,167.2560232
69,Tm,168.934
70,Yb,173.0376377
71,Lu,174.9669518
72,Hf,178.4851746
73,Ta,180.9478799
74,W,183.84161
75,Re,186.206878
76,Os,190.2245546
77,Ir,192.216254
78,Pt,195.0780036
79,Au,196.967
80,Hg,200.5991002
81,Tl,204.3829295
82,Pb,207.217
83,Bi,208.98
84,Po,208.982
85,At,209.987
86,Rn,222.018
87,Fr,223.02
88,Ra,226.025
89,Ac,227.028
90,Th,232.038
91,Pa,231.036
92,U,238.0291291
93,Np,237.048
94,Pu,244.064
95,Am,243.061
96,Cm,247.07
97,Bk,247.07
98,Cf,251.08
99,Es,252.083
100,Fm,257.095
101,Md,258.098
102,No,259.101
103,Lr,262.11
104,Rf,261.109
105,Db,262.114
106,Sg,266.122
107,Bh,264.125
