# How published optical simulations obtain their bulk attenuation.
# Produced by scripts/scan_optical_practice.py -- mechanical and
# rebuildable. A KEYWORD classification of full text, so every
# column is an upper bound on the practice it names: the words
# appearing near each other is not proof the paper did the thing.
# The corpus is the arXiv-accessible light-yield survey sample,
# not a census of optical simulations.
#
arxiv_id,mentions_attenuation,runs_optical_sim,dispersive_near_mention,measured_near_mention,mentions_nai
0705.3703v1,False,False,False,False,True
0706.2422v1,False,False,False,False,False
0707.0766v1,False,False,False,False,False
0803.2888v1,True,True,False,False,False
0805.2446v1,False,True,False,False,True
0806.4483v3,False,True,False,False,False
0910.4414v1,False,False,False,False,False
1002.0560v2,False,False,False,False,False
1004.0373v3,False,True,False,False,False
1008.2175v1,False,False,False,False,False
1009.1321v1,False,False,False,False,False
1102.1825v2,False,False,False,False,False
1110.6370v2,True,False,False,False,False
1111.2147v1,False,False,False,False,False
1203.1172v2,False,False,False,False,True
1204.0580v2,False,False,False,False,False
1210.3755v1,False,False,False,False,True
1210.6734v1,False,True,False,False,False
1211.1256v1,False,False,False,False,False
1212.4050v1,False,True,False,False,False
1301.6403v3,False,False,False,False,False
1303.5952v1,False,False,False,False,False
1305.1560v2,False,True,False,False,False
1308.3658v2,False,False,False,False,False
1308.3908v1,False,False,False,False,False
1308.6085v1,True,True,False,False,True
1309.3736v1,True,True,False,False,False
1404.7846v1,False,False,False,False,False
1410.6496v1,True,True,True,False,False
1411.6246v1,False,False,False,False,False
1502.03931v2,False,True,False,False,False
1503.00132v1,False,False,False,False,False
1503.03544v1,False,True,False,False,True
1503.03759v1,True,True,False,False,False
1504.05489v1,False,False,False,False,False
1507.08305v1,True,False,False,False,False
1509.07822v2,False,False,False,False,True
1510.03030v1,True,True,False,False,False
1510.05787v1,False,False,False,False,False
1511.08424v2,False,True,False,False,False
1512.06729v3,True,True,False,True,False
1602.02983v1,False,False,False,False,False
1604.04128v1,False,False,False,False,False
1607.05486v2,False,True,False,False,True
1607.08783v1,False,True,False,False,True
1608.07556v1,True,True,False,False,False
1608.08778v2,False,True,False,False,False
1611.00241v2,False,False,False,False,False
1611.05862v1,True,False,False,False,False
1612.02918v1,False,True,False,False,True
1612.05507v1,False,False,False,False,False
1612.06071v2,False,True,False,False,False
1702.07614v2,False,False,False,False,True
1703.01262v1,False,False,False,False,True
1709.04020v2,False,False,False,False,True
1709.04975v1,False,False,False,False,True
1710.11233v3,True,True,False,False,False
1801.07909v2,False,False,False,False,False
1802.08247v1,False,True,False,False,False
1806.02461v2,True,True,False,False,False
1807.06390v1,False,True,False,False,False
1809.10840v2,True,True,False,False,False
1904.03640v2,False,True,False,False,True
1904.09362v1,False,False,False,False,False
1906.09296v2,False,False,False,False,False
1907.10856v3,True,True,False,False,False
1909.02994v1,False,True,False,False,False
1911.02076v1,False,False,False,False,True
1911.03611v1,False,False,False,False,True
1911.13217v1,False,False,False,False,True
1912.11504v1,False,False,False,False,False
2001.06672v1,False,False,False,False,False
2001.07518v2,True,True,False,False,True
2002.06415v1,True,True,False,False,False
2003.01485v2,False,False,False,False,False
2005.09087v1,False,False,False,False,False
2005.11659v1,False,True,False,False,False
2101.03264v1,False,False,False,False,False
2102.08499v5,True,True,True,True,False
2103.11267v1,True,False,False,False,True
2103.13106v2,False,True,False,False,True
2104.07568v2,False,False,False,False,False
2107.11571v1,False,False,False,False,False
2108.13929v3,False,False,False,False,False
2109.07362v1,False,True,False,False,True
2110.01992v2,False,True,False,False,False
2110.03306v1,False,False,False,False,True
2110.06618v1,False,False,False,False,True
2110.13482v1,False,False,False,False,True
2111.03660v2,False,False,False,False,False
2112.04990v1,True,True,False,False,False
2202.09154v2,False,False,False,False,False
2203.13322v1,True,True,False,False,False
2207.05496v1,False,False,False,False,False
2209.02885v3,True,False,False,False,True
2212.04342v1,False,False,False,False,False
2212.11515v3,False,False,False,False,True
2212.13054v3,False,False,False,False,False
2308.01148v1,False,True,False,False,False
2308.06759v1,False,False,False,False,True
2312.07957v3,False,False,False,False,True
2401.00226v2,True,True,False,False,True
2402.05026v5,False,False,False,False,True
2408.01340v1,False,False,False,False,False
2408.11070v1,False,True,False,False,False
2409.10823v1,True,False,False,False,False
2409.17002v1,False,False,False,False,False
2410.07141v1,False,False,False,False,False
2410.09371v1,True,False,False,False,False
2410.22863v2,True,True,False,False,False
2412.02516v2,False,False,False,False,False
2503.13013v2,False,True,False,False,False
2504.16421v3,False,False,False,False,True
2505.01961v1,False,False,False,False,False
2507.09765v2,False,True,False,False,False
2508.15513v1,False,False,False,False,True
2509.17528v1,False,True,False,False,False
2509.20390v4,True,False,True,True,False
2509.26416v3,True,True,False,False,True
2511.20210v1,False,True,False,False,True
2512.04965v3,False,True,False,False,False
2603.06429v2,False,True,False,False,False
2604.14060v2,True,False,False,False,False
2605.28414v1,False,True,False,False,False
2606.16007v1,False,False,False,False,False
2607.00112v1,True,False,False,False,False
2608.11303v1,False,False,False,False,True
2608.14959v1,False,False,False,False,False
2608.21171v1,True,False,False,False,True
2608.21397v2,True,False,True,True,False
2609.09640v1,True,True,True,False,False
2609.10116v1,True,True,True,True,False
