# Optical input provenance ledger -- Paper 0 evidence base.
#
# One row per optical input that a Geant4 scintillator simulation requires. The
# question each row answers is not "what value is used" but "where does that
# value actually come from, and how far is the citation chain from a measurement".
#
# The distinction matters because Geant4 derives none of these from chemistry:
# every one is a piece of literature, and a simulated light yield is only as
# trustworthy as the weakest link below.
#
# Columns
#   material              the scintillator
#   quantity              the Geant4 material property
#   used_by               who uses the value we are tracing
#   cited_source          what they cite
#   primary_source        where the number was actually measured, after tracing
#   chain_length          number of citation hops from user to measurement
#   measurement_year      year of the underlying measurement
#   status                MEASURED / DERIVED / ASSUMED / UNAVAILABLE
#   discrepancy           the quantified problem, if any
#   verified_on           date we traced it
#
material,quantity,used_by,cited_source,primary_source,chain_length,measurement_year,status,discrepancy,verified_on
NaI:Tl,RINDEX,"Miller et al. IEEE TNS 72 197 (2025), arXiv:2403.02668 Fig. 8b (Geant4 parameter compilation)",Mao Zhang & Zhu IEEE TNS 55 2425 (2008) ref [18],"Spangenberg Z. Kristallogr. 57 494 (1922; cited as 1923 by Jellison et al.), one wavelength, immersion method; fitted to a Sellmeier form by H. H. Li J. Phys. Chem. Ref. Data 5 329 (1976)",3,1923,DERIVED,"The Sellmeier fit rests on a single data point; Jellison et al. J. Appl. Phys. 111 043521 (2012) measured n directly at six wavelengths between 436 and 633 nm, and their published one-term fit, extrapolated to the 415 nm emission peak, disagrees with it by 1.7 % there (1.8218 vs 1.8524); that changes the first-pass escape-cone solid angle by -4.3 % for readout through index-1.465 grease (-3.6 % for escape into air; the grease figure is the one that applies). Corrected 2026-09-23: the values were those of a two-point form pinned to the 2012 abstract, which the published fit replaced.",2026-09-23
NaI:Tl,RINDEX,refractiveindex.info (database/data/main/NaI/nk/Jellison.yml),Jellison et al. J. Appl. Phys. 111 043521 (2012),"Jellison et al. J. Appl. Phys. 111 043521 (2012), minimum deviation, six wavelengths 436-633 nm",1,2012,MEASURED,"The transcribed single-term Sellmeier (0, 1.994, 0.176 um) is the paper's own least-squares fit to its six minimum-deviation points (chi^2 = 1.02). Table I (consulted 2026-09-14): 435.8 nm 1.839, 488.0 1.814, 514.5 1.804, 546.1 1.799, 578.0 1.786, 633.0 1.778, all +- 0.002; the fit reproduces every entry. The abstract's '633 nm (n = 1.786)' is a typographical error (it is the 578 nm value). An earlier version of this ledger, working from the abstract alone, read the disagreement the other way.",2026-09-14
NaI:Tl,RINDEX,manufacturer datasheets; most simulation papers,(none given),(none) -- a rounded reading of a dispersion curve at the emission peak,0,,ASSUMED,"Quoted as a single number, 1.85, with no dispersion. Across the 340-520 nm emission band the Li model alone varies from 1.876 to 1.787, a 5.0 % swing. Against the index-1.465 grease of the readout the critical angle moves from 51.33 to 55.07 degrees, a 13.9 % change in the escape-cone solid angle between the blue and red ends of the same band (corrected 2026-09-23: the earlier figures were for escape into air).",2026-09-23
NaI:Tl,ABSLENGTH,published Geant4 setups,(various),"(none) -- flat values of 500 mm, 1000 mm or 'transparent'",0,,ASSUMED,"Flat absorption cannot represent an absorption edge that cuts into the emission band. Mao Zhang & Zhu (2008) Section III report NaI(Tl) transmitting only 50 % of its 800 nm value at 365 nm over a 1.5 X0 (38.8 mm) sample, which implies L_abs(365 nm) = 59 mm -- shorter than the 76.2 mm crystal.",2026-09-12
NaI:Tl,ABSLENGTH,this study (materials/NaI_Tl.dat),Mao Zhang & Zhu IEEE TNS 55 2425 (2008) Section III,"Mao Zhang & Zhu IEEE TNS 55 2425 (2008), Perkin Elmer Lambda-950 transmittance, 1.5 X0 sample",1,2008,DERIVED,"One anchor point, not a curve: it fixes the height of the absorption edge but not its slope. The slope (Urbach energy) is an assumed, scanned parameter. Derivation in scripts/derive_nai_abslength.py; robust to 55-60 mm across all assumptions tested.",2026-09-12
NaI:Tl,SCINTILLATIONCOMPONENT1,every simulation we could find,"SSLG4 (Comput. Phys. Commun. 306 (2025) 109385), manufacturer's table; Mao et al. (2008) Fig. 2, figure","photoluminescence of the Mao et al. sample, Hitachi F4500, digitised (data/optical/mao2008_nai_photoluminescence.csv); no scintillation spectrum with its conditions",,,ASSUMED (baseline); two alternatives run,"Corrected 2026-09-23. Two numerical forms exist. SSLG4 distributes a 77-point table for NaI(Tl), attributed to a manufacturer (Luxium Solutions), without conditions or uncertainty. And Fig. 2 of Mao et al. (2008) -- the figure the attenuation curve is digitised from -- draws the photoluminescence band of the same sample, measured with a fluorescence spectrophotometer at a geometry chosen so that internal absorption does not shape it; digitised on the same axis it peaks at 409 nm with a 90 nm FWHM. It is excited by ultraviolet light, not ionising radiation. Miller et al. plot a band (Fig. 8b) whose data sit behind an IEEE DataPort subscription; the LBNL library lists the 415 nm peak only. No measured scintillation spectrum with its conditions was located, so the band shape remains an assumption; the two numerical bands are run as variants.",2026-09-23
NaI:Tl,SCINTILLATIONYIELD,this study (materials/NaI_Tl.dat),"Miller et al. IEEE TNS 72 197 (2025), arXiv:2403.02668 Table I","Brown Appl. Radiat. Isot. 168 109368 (2021) and corrigendum 194 110721 (2023) -- Miller et al.'s Table I cites refs [12] and [21], both Brown; NOT traced past Brown",2,2021,MEASURED,"Bonesini arXiv:2505.06929 Table 1 gives 38000 ph/MeV against Miller et al.'s 41000, a 7.9 % disagreement between two peer-reviewed compilations of the same material.",2026-09-11
NaI:Tl,RESOLUTIONSCALE,"Miller et al. IEEE TNS 72 197 (2025), arXiv:2403.02668 Table I",(own calculation),(none) -- the paper states it 'was calculated from the energy resolution',0,,ASSUMED,"The parameter is fitted to the observable it is then used to predict, which makes simulated energy resolution a fit rather than a prediction. This study keeps RESOLUTIONSCALE = 1 and reports the statistical resolution as a lower bound instead.",2026-09-11
NaI:Tl,decay structure,this study (materials/NaI_Tl.dat),"Miller et al. IEEE TNS 72 197 (2025), arXiv:2403.02668 Table I",Brown Appl. Radiat. Isot. 168 109368 (2021) and corrigendum 194 110721 (2023),2,2021,MEASURED,"Bonesini gives a single 250 ns component; Miller et al. give 220 ns (96 %) + 1500 ns (4 %). The two compilations disagree about the STRUCTURE of the decay, not merely its value.",2026-09-11
NaI:Tl,RESOLUTIONSCALE,"Miller et al. IEEE TNS 72 197 (2025), arXiv:2403.02668 Table I",(own calculation),(none),0,,ASSUMED,"Table I qualifies the NaI:Tl resolution scale as '(at 511 keV)', but the benchmark this study and most others compare against is the 662 keV 137Cs line. The parameter is energy-dependent because the underlying non-proportionality is, so it is being transported across energies without restatement.",2026-09-12
