# Keyword scan of reporting practice. UPPER BOUNDS: a paper counts as
# mentioning something if the word appears anywhere, including about
# other people's crystals. Produced by scripts/scan_reporting.py.
arxiv_id,klass,title,surface,wrapping,lce,optical_sim,lce_corrected
0705.3703v1,none,Branching Transport Model of Alkali-Halide Scintillators,true,false,false,false,false
0706.2422v1,relative,Pulse-shape discrimination with PbWO$_4$ crystal scintillators,true,true,false,false,false
0707.0766v1,none,Interpretation of Light-Quenching Factor Measurements,false,false,false,false,false
0803.2888v1,absolute,Scintillation yield of liquid xenon at room temperature,false,false,false,true,false
0805.2446v1,detected,Test and Developments of Crystals for a High-Resolution Electromagnetic Calorimeter for PANDA,true,true,false,true,false
0806.4483v3,none,Future use of silicon photomultiplier for KAOS at MAMI and PANDA at FAIR,false,false,false,true,false
0910.4414v1,none,Scintillator Non-Proportionality and Gamma Quenching in CaWO4,true,false,false,false,false
1002.0560v2,none,First test of a cryogenic scintillation module with a CaWO4 scintillator and a low-temperature photomultiplier down to 6 K,false,false,false,false,false
1004.0373v3,absolute,Measurement of scintillation efficiency for nuclear recoils in liquid argon,true,true,false,true,false
1008.2175v1,absolute,Structure and optical properties of high light output halide scintillators,false,false,false,false,false
1009.1321v1,none,Scintillation properties of ceramics based on zinc oxide,false,false,false,false,false
1102.1825v2,absolute,Infrared scintillation yield in gaseous and liquid argon,false,false,false,true,false
1110.6370v2,absolute,An analytic technique for the estimation of the light yield of a scintillation detector,false,true,false,true,false
1111.2147v1,relative,Novel Scintillation Material - ZnO Transparent Ceramics,true,true,true,false,false
1203.1172v2,none,Low temperature light yield measurements in NaI and NaI(Tl),true,false,false,false,false
1204.0580v2,absolute,Study of infrared scintillations in gaseous and liquid argon - Part II: light yield and possible applications,false,false,false,false,false
1210.3755v1,absolute,Scintillation properties of pure and Ce$^{3+}$-doped SrF$_2$ crystals,true,true,false,false,false
1210.6734v1,absolute,Precise measurement of the absolute fluorescence yield of the 337 nm band in atmospheric gases,true,true,false,true,false
1211.1256v1,absolute,"Deep trapping states in Cerium doped (Lu,Y,Gd)3(Ga,Al)5O12 single crystal scintillators",true,false,false,false,false
1212.4050v1,detected,Suitability of high-pressure xenon as scintillator for gamma ray spectroscopy,false,false,true,true,true
1301.6403v3,detected,Measurement of the proton light response of various LAB based scintillators and its implication for supernova neutrino detection via neutrino-proton scattering,true,false,true,true,true
1303.5952v1,absolute,Application of the Monte-Carlo refractive index matching (MCRIM) technique to the determination of the absolute light yield of a calcium molybdate scintillator,true,true,true,true,true
1305.1560v2,relative,New Approaches for Improvement of TOF-PET,false,false,false,true,false
1308.3658v2,absolute,The Effects of Dissolved Methane upon Liquid Argon Scintillation Light,true,true,false,false,false
1308.3908v1,absolute,Absolute light yield measurements on SrF$_{2}$ and BaF$_{2}$ doped with rare earth ions,true,true,true,false,false
1308.6085v1,none,Characterization of Large Volume 3.5 x 8 inches LaBr3:Ce Detectors,false,false,false,true,false
1309.3736v1,absolute,Optimum performance investigation of LYSO crystal pixels: A comparison between GATE simulation and experimental data,true,true,false,true,false
1404.7846v1,none,Impact of geometry on light collection efficiency of scintillation detectors for cryogenic rare event searches,true,false,true,true,true
