# Title/abstract screening for the Paper 0 light-yield survey.
# auto_* is a crude keyword verdict; reviewed_* is what a human decided
# after reading, and is what the extraction step uses. A blank
# reviewed_decision means not yet reviewed.
arxiv_id,published,title,auto_decision,auto_reason,reviewed_decision,reviewed_reason
0004011v1,2000-04-28,Energy resolution and energy-light response of CsI(TI) scintillators for charged particle detection,screen,abstract mentions a light yield -- read the full text,,
0106002v1,2001-06-01,Response of CsI(Tl) scintillators over a large range in energy and atomic number of ions (Part I): recombination and delta -- electrons,screen,abstract mentions a light yield -- read the full text,,
0106003v1,2001-06-01,Response of CsI(Tl) scintillators over a large range in energy and atomic number of ions (Part II): calibration and identification in the INDRA array,screen,abstract mentions a light yield -- read the full text,,
0106054v1,2001-06-13,pp-Solar Neutrino Spectroscopy: Return of the Indium Detector,exclude,organic or liquid scintillator,,
0108019v1,2001-08-20,Measurements and simulations of Cherenkov light in lead fluoride crystals,screen,abstract mentions a light yield -- read the full text,,
0110003v4,2001-10-03,Nuclear Recoil Measurement in CsI(Tl) Crystal for Cold Dark Matter Detection,screen,abstract mentions a light yield -- read the full text,,
0205220v1,2002-05-20,Detection of Supernova Neutrinos by Neutrino-Proton Elastic Scattering,screen,abstract mentions a light yield -- read the full text,,
0212011v1,2002-12-02,Radiation hardness of the PIBETA detector components,exclude,organic or liquid scintillator,,
0307042v1,2003-07-07,A Textured Silicon Calorimetric Light Detector,exclude,abstract reports no light yield or output,,
0403079v1,2004-03-15,Design and construction of new central and forward muon counters for CDF II,exclude,organic or liquid scintillator,,
0403136v1,2004-03-29,Study of the radiation hardness of CsI(Tl) scintillation crystals,screen,abstract mentions a light yield -- read the full text,,
0405028v1,2004-05-06,Study of New FNAL-NICADD Extruded Scintillator as Active Media of Large EMCal of ALICE at LHC,exclude,organic or liquid scintillator,,
0409014v1,2004-09-17,ZnWO_4 crystals as detectors for double beta decay and dark matter experiments,exclude,abstract reports no light yield or output,,
0410080v1,2004-10-13,Long sandwich modules for photon veto detectors,screen,abstract mentions a light yield -- read the full text,,
0410133v2,2004-10-19,Study of Possible Scintillation Mechanism Damage in PbWO4 Crystals After Pion Irradiation,screen,abstract mentions a light yield -- read the full text,,
0412021v1,2004-12-10,Application of PbWO4 crystal scintillators in experiment to search for double beta decay of 116Cd,exclude,abstract reports no light yield or output,,
0501036v2,2005-01-07,Performance of a Chamber for Studying the Liquid Xenon Response to Nuclear Recoils,exclude,abstract reports no light yield or output,,
0502086v1,2005-02-16,Prototype scintillator cell for an In-based solar neutrino detector,screen,abstract mentions a light yield -- read the full text,,
0504085v1,2005-04-13,Correlation of Beam Electron and LED Signal Losses under Irradiation and Long-term Recovery of Lead Tungstate Crystals,screen,abstract mentions a light yield -- read the full text,,
0504120v1,2005-04-18,PWO crystals for CMS electromagnetic calorimeter : studies of the radiation damage kinetics,exclude,abstract reports no light yield or output,,
0604102v1,2006-04-12,High-energy proton induced damage study of scintillation light output from PbWO4 calorimeter crystals,screen,abstract mentions a light yield -- read the full text,,
0605248v1,2006-05-30,Temperature behavior of NaI (Tl) scintillation detectors,screen,abstract mentions a light yield -- read the full text,,
0606077v1,2006-06-08,Measurement and simulation of the neutron response of the Nordball liquid scintillator array,exclude,organic or liquid scintillator,,
0608004v1,2006-08-02,Further study of CdWO4 crystal scintillators as detectors for high sensitivity double beta experiments: scintillation properties and pulse-shape discrimination,screen,abstract mentions a light yield -- read the full text,,
0608034v2,2006-08-03,Gamma Ray Spectroscopy with Scintillation Light in Liquid Xenon,screen,abstract mentions a light yield -- read the full text,,
0705.3703v1,2007-05-25,Branching Transport Model of Alkali-Halide Scintillators,screen,abstract mentions a light yield -- read the full text,,
0706.2422v1,2007-06-16,Pulse-shape discrimination with PbWO$_4$ crystal scintillators,screen,abstract mentions a light yield -- read the full text,,
0707.0766v1,2007-07-05,Interpretation of Light-Quenching Factor Measurements,screen,abstract mentions a light yield -- read the full text,,
0707.1428v1,2007-07-10,Development of CaMoO4 crystal scintillators for double beta decay experiment with 100-Mo,exclude,abstract reports no light yield or output,,
0711.3053v1,2007-11-20,PICO-LON Project for WIMPs search,exclude,abstract reports no light yield or output,,
0803.2888v1,2008-03-19,Scintillation yield of liquid xenon at room temperature,screen,abstract mentions a light yield -- read the full text,,
0805.0525v1,2008-05-05,Study of Micro Pixel Photon Counter for the Application to Positron Emission Tomography,exclude,abstract reports no light yield or output,,
0805.2446v1,2008-05-16,Test and Developments of Crystals for a High-Resolution Electromagnetic Calorimeter for PANDA,screen,abstract mentions a light yield -- read the full text,,
0806.4483v3,2008-06-27,Future use of silicon photomultiplier for KAOS at MAMI and PANDA at FAIR,screen,abstract mentions a light yield -- read the full text,,
0904.1329v4,2009-04-08,Oxygen quenching in LAB based liquid scintillator and nitrogen bubbling model,exclude,organic or liquid scintillator,,
0909.2152v1,2009-09-11,Characterization of a Nd-loaded organic liquid scintillator for neutrinoless double beta decay search of 150-Nd with a 10-ton scale detector,exclude,organic or liquid scintillator,,
0910.4414v1,2009-10-23,Scintillator Non-Proportionality and Gamma Quenching in CaWO4,screen,abstract mentions a light yield -- read the full text,,
0911.2429v3,2009-11-12,Temperature characterization of scintillation detectors using solid-state photomultipliers for radiation monitoring applications,exclude,abstract reports no light yield or output,,
1002.0560v2,2010-02-02,First test of a cryogenic scintillation module with a CaWO4 scintillator and a low-temperature photomultiplier down to 6 K,screen,abstract mentions a light yield -- read the full text,,
1004.0373v3,2010-04-02,Measurement of scintillation efficiency for nuclear recoils in liquid argon,screen,abstract mentions a light yield -- read the full text,,
1008.2175v1,2010-08-12,Structure and optical properties of high light output halide scintillators,screen,abstract mentions a light yield -- read the full text,,
1009.1321v1,2010-09-07,Scintillation properties of ceramics based on zinc oxide,screen,abstract mentions a light yield -- read the full text,,
1011.2748v2,2010-11-11,Development of an anti-Compton veto for HPGe detectors operated in liquid argon using Silicon Photo-Multipliers,exclude,abstract reports no light yield or output,,
1102.1825v2,2011-02-09,Infrared scintillation yield in gaseous and liquid argon,screen,abstract mentions a light yield -- read the full text,,
1106.4458v1,2011-06-22,Fast Neutron Detection with 6Li-loaded Liquid Scintillator,exclude,organic or liquid scintillator,,
1108.2771v1,2011-08-13,Low background detector with enriched 116CdWO4 crystal scintillators to search for double beta decay of 116Cd,exclude,abstract reports no light yield or output,,
1110.6370v2,2011-10-28,An analytic technique for the estimation of the light yield of a scintillation detector,screen,abstract mentions a light yield -- read the full text,,
1111.2147v1,2011-11-09,Novel Scintillation Material - ZnO Transparent Ceramics,screen,abstract mentions a light yield -- read the full text,,
1111.2248v1,2011-11-09,Quenching Factor for Low Energy Nuclear Recoils in a Plastic Scintillator,exclude,organic or liquid scintillator,,
1111.5505v2,2011-11-23,Radioactive contamination of SrI2(Eu) crystal scintillator,exclude,abstract reports no light yield or output,,
1111.6022v1,2011-11-25,Pulse Shape Analysis with scintillating bolometers,exclude,abstract reports no light yield or output,,
1112.5941v2,2011-12-27,Large scale Gd-beta-diketonate based organic liquid scintillator production for antineutrino detection,exclude,organic or liquid scintillator,,
1202.0238v1,2012-02-01,ZnMoO4: a promising bolometer for neutrinoless double beta decay searches,exclude,abstract reports no light yield or output,,
1203.1172v2,2012-03-06,Low temperature light yield measurements in NaI and NaI(Tl),screen,abstract mentions a light yield -- read the full text,,
1204.0580v2,2012-04-03,Study of infrared scintillations in gaseous and liquid argon - Part II: light yield and possible applications,screen,abstract mentions a light yield -- read the full text,,
1206.4036v2,2012-06-18,Characterization of a Li-6 loaded liquid organic scintillator for fast neutron spectrometry and thermal neutron detection,exclude,organic or liquid scintillator,,
