# NaI(Tl) attenuation length AS IMPLEMENTED IN A PUBLISHED GEANT4 MODEL,
# digitised from the CORRECTED Fig. 1 (left panel, blue dashed) of the corrigendum
#   J. M. C. Brown, Appl. Radiat. Isot. 194 (2023) 110721,
#   doi:10.1016/j.apradiso.2023.110721
#   PDF sha256 4a00635cb946554af61d1195e5a21f217bc587082dd09a54e4d0a038e5f2a7cd
# which replaces Fig. A11 of
#   J. M. C. Brown, Appl. Radiat. Isot. 168 (2021) 109368,
#   doi:10.1016/j.apradiso.2020.109368; preprint arXiv:1908.04565.
# The figure as first printed is digitised in
#   brown2021_fig_a11_as_printed_nai_attenuation.csv
# and is kept only to document the size of the correction.
#
# This is NOT a measurement. It is the model one published simulation fed to
# Geant4, recorded here so that it can be compared with the measurement in
# mao2008_nai_transmittance.csv. It matters because the parameter compilation
# that supplies NaI(Tl) to other Geant4 users (Miller et al., IEEE TNS 72
# (2025) 197) takes its NaI(Tl) optical data from this work. Brown's Table A3
# (Table 1 of the corrigendum) attributes the NaI(Tl) row, absorption length
# included, to Mao et al. (2008); how the curve was derived from that
# transmittance measurement is not stated.
#
# Axes calibrated from the grid lines (rms residual 0.52 px in
# energy, 0.28 px in log length); the left frame lands on 1.0 eV
# to -0.25 px. Stroke 4 px on a log axis: half-
# thickness 4.1 %. Steep parts traced row-wise.
# Generated by scripts/digitise_brown_corrigendum.py.
wavelength_nm,energy_eV,attenuation_length_mm
248.81,4.9831,8.6
249.21,4.9750,8.6
249.62,4.9669,8.6
250.03,4.9588,8.6
250.44,4.9508,8.6
250.85,4.9427,8.6
251.26,4.9346,8.6
251.67,4.9265,8.7
254.17,4.8779,8.7
254.60,4.8698,8.6
255.02,4.8617,8.6
255.45,4.8537,8.6
255.87,4.8456,8.6
256.30,4.8375,8.6
256.73,4.8294,8.6
257.16,4.8213,8.6
257.59,4.8132,8.6
258.03,4.8051,8.6
258.46,4.7970,8.6
258.90,4.7889,8.6
259.34,4.7808,8.6
262.00,4.7323,8.6
262.45,4.7242,8.6
262.90,4.7161,8.6
263.35,4.7080,8.6
263.80,4.6999,8.6
264.26,4.6918,8.6
264.71,4.6837,8.6
265.17,4.6756,8.6
265.63,4.6675,8.6
266.09,4.6595,8.6
266.55,4.6514,8.6
267.02,4.6433,8.7
269.84,4.5947,8.7
270.32,4.5866,8.6
270.79,4.5785,8.6
271.27,4.5704,8.6
271.75,4.5624,8.6
272.24,4.5543,8.6
272.72,4.5462,8.6
273.21,4.5381,8.6
273.70,4.5300,8.6
274.19,4.5219,8.6
274.68,4.5138,8.6
275.17,4.5057,8.6
275.67,4.4976,8.6
278.67,4.4491,8.7
279.18,4.4410,8.6
279.69,4.4329,8.6
280.20,4.4248,8.6
280.72,4.4167,8.6
281.23,4.4086,8.6
281.75,4.4005,8.6
282.27,4.3924,8.6
282.79,4.3843,8.6
283.31,4.3762,8.6
283.84,4.3682,8.6
284.36,4.3601,8.7
287.57,4.3115,8.7
288.11,4.3034,8.6
288.65,4.2953,8.6
289.19,4.2872,8.6
289.74,4.2792,8.6
290.29,4.2711,8.6
290.84,4.2630,8.6
291.39,4.2549,8.6
291.95,4.2468,8.6
292.51,4.2387,8.6
293.07,4.2306,8.6
293.63,4.2225,8.6
294.19,4.2144,8.7
297.04,4.1740,8.5
297.62,4.1659,8.6
298.20,4.1578,8.6
298.78,4.1497,8.6
299.36,4.1416,8.6
299.95,4.1335,8.6
300.54,4.1254,8.6
301.13,4.1173,8.6
301.72,4.1092,8.6
302.32,4.1011,8.5
302.91,4.0930,8.5
303.51,4.0850,8.5
304.12,4.0769,8.6
308.40,4.0202,8.4
309.02,4.0121,8.4
309.65,4.0040,8.4
310.28,3.9959,8.4
310.90,3.9879,8.4
311.54,3.9798,8.4
312.17,3.9717,8.4
312.81,3.9636,8.4
313.45,3.9555,8.4
314.09,3.9474,8.4
314.74,3.9393,8.4
315.38,3.9312,8.5
319.33,3.8827,8.6
319.99,3.8746,8.6
320.66,3.8665,8.6
321.34,3.8584,8.6
322.01,3.8503,8.6
322.69,3.8422,8.7
323.37,3.8341,8.7
324.06,3.8260,8.7
324.74,3.8179,8.9
325.43,3.8098,8.9
326.12,3.8017,8.9
326.82,3.7937,8.9
331.06,3.7451,9.1
331.77,3.7370,9.1
332.49,3.7289,9.1
333.22,3.7208,9.1
333.94,3.7127,9.1
334.67,3.7046,9.1
335.40,3.6966,9.5
336.14,3.6885,9.6
336.88,3.6804,11.8
337.62,3.6723,11.8
338.37,3.6642,12.0
338.74,3.6601,12.0
339.12,3.6561,12.5
339.49,3.6521,12.8
339.87,3.6480,13.0
340.25,3.6440,13.5
340.62,3.6399,13.4
341.00,3.6359,13.8
341.38,3.6318,13.7
342.15,3.6237,15.9
342.91,3.6156,16.2
343.30,3.6116,15.9
343.68,3.6075,16.6
344.07,3.6035,16.6
344.45,3.5995,16.9
344.84,3.5954,17.6
345.23,3.5914,18.7
345.62,3.5873,19.5
346.01,3.5833,22.9
346.79,3.5752,23.3
347.18,3.5711,23.8
347.58,3.5671,25.8
348.37,3.5590,25.5
348.76,3.5550,27.4
349.16,3.5509,32.2
349.96,3.5428,32.5
350.36,3.5388,33.5
350.76,3.5347,34.2
351.57,3.5266,36.3
352.37,3.5185,36.7
352.78,3.5145,37.8
353.19,3.5104,44.4
354.00,3.5024,46.7
354.41,3.4983,44.4
354.82,3.4943,46.3
355.23,3.4902,50.1
355.65,3.4862,54.3
356.06,3.4821,53.3
356.47,3.4781,63.2
357.30,3.4700,65.1
357.72,3.4659,65.1
358.14,3.4619,75.8
358.56,3.4579,69.2
358.98,3.4538,75.8
359.40,3.4498,75.0
359.82,3.4457,75.8
360.67,3.4376,89.0
361.09,3.4336,86.4
361.52,3.4295,92.7
361.95,3.4255,91.7
362.37,3.4214,93.6
362.80,3.4174,99.4
363.66,3.4093,107.8
364.10,3.4053,101.4
364.96,3.3972,120.4
365.83,3.3891,124.1
366.27,3.3850,121.6
366.71,3.3810,126.6
367.15,3.3769,129.2
368.03,3.3688,134.5
368.47,3.3648,135.8
