# NaI(Tl) photo-luminescence band, digitised from Fig. 2 of
#   R. Mao, L. Zhang, R.-Y. Zhu, IEEE Trans. Nucl. Sci. 55 (2008)
#   2425-2431, doi:10.1109/TNS.2008.2000776
#
# Produced by scripts/digitise_mao_fig2_emission.py. The article PDF
# is not redistributed here; it was obtained from the authors' page at
#   https://www.its.caltech.edu/~rzhu/papers/08_tns_crystal.pdf
#   sha256 945b5d83f98b8e803c6b7f08f26cf8f6e11147aa33b4e3b79fd887c57d05b356
#
# The blue curve of the NaI(Tl) panel: photo-luminescence measured
# with a Hitachi F4500 fluorescence spectrophotometer, excitation beam
# at 10 degrees to the sample normal so that internal absorption does
# not shape the spectrum (Section III of the paper). Ultraviolet
# excitation, not ionising radiation; the paper does not state whether
# the spectrum was corrected for the instrument's spectral response.
# Intensity is measured from the panel's lower frame rule and
# normalised to the band maximum; it is an ordinate per unit
# wavelength as plotted, whatever the instrument's own convention.
#
# calibration offset applied: +1.77 nm, shared with
#   data/optical/mao2008_nai_transmittance.csv
# traced maximum 410.0 nm (printed in the panel: 410 nm); FWHM 89.9 nm
# occluded by the red excitation curve between 359.4 and 366.4 nm; no points there, bridged linearly on reading
# the band as traced starts at the first blue pixel; the paper's
#   spectrum is not drawn below it
#
wavelength_nm,intensity
350.92,0.07800
353.74,0.07429
355.14,0.09286
356.55,0.12072
357.96,0.14858
359.36,0.19873
366.39,0.39560
367.80,0.30830
369.21,0.34326
370.61,0.41630
372.02,0.47360
373.43,0.49774
374.83,0.53860
376.24,0.57575
377.65,0.59618
379.05,0.62775
380.46,0.66118
381.87,0.68718
383.27,0.71133
384.68,0.74290
386.08,0.77633
387.49,0.79945
388.90,0.82091
390.30,0.84505
391.71,0.87105
393.12,0.89520
394.52,0.91006
395.93,0.92120
398.74,0.93977
400.15,0.95277
401.56,0.96206
402.96,0.96949
405.78,0.98620
407.18,0.98992
408.59,0.98992
409.99,1.00000
411.40,0.99363
412.81,0.99178
414.21,0.98620
415.62,0.98063
417.03,0.97506
418.43,0.96763
419.84,0.96206
421.25,0.95649
422.65,0.95092
424.06,0.93977
425.47,0.92863
426.87,0.91563
429.69,0.89148
431.09,0.87291
432.50,0.85991
433.90,0.85062
435.31,0.84134
436.72,0.82648
438.12,0.80605
440.94,0.78191
442.34,0.75962
443.75,0.73547
445.16,0.71876
446.56,0.70204
447.97,0.68347
449.38,0.66490
450.78,0.64818
452.19,0.63332
453.60,0.61661
455.00,0.59989
456.41,0.58504
457.81,0.56646
459.22,0.54603
460.63,0.52932
462.03,0.51446
463.44,0.49960
464.85,0.48041
466.25,0.46741
467.66,0.45131
469.07,0.43831
470.47,0.41974
471.88,0.40302
473.29,0.39374
474.69,0.38383
476.10,0.38074
477.51,0.36217
478.91,0.34731
480.32,0.33431
481.72,0.31945
483.13,0.30273
485.94,0.28230
487.35,0.27116
488.76,0.26187
490.16,0.25259
491.57,0.24144
492.98,0.23030
494.38,0.22473
495.79,0.21730
497.20,0.20616
498.60,0.19687
500.01,0.18944
501.42,0.18015
502.82,0.17272
504.23,0.16715
505.63,0.16158
507.04,0.15601
508.45,0.15230
509.85,0.14765
511.26,0.14239
512.67,0.13744
514.07,0.13248
515.48,0.12815
516.89,0.12444
518.29,0.11886
519.70,0.11391
521.11,0.11144
522.51,0.10586
523.92,0.10215
525.33,0.09843
526.73,0.09472
528.14,0.09193
529.54,0.08915
530.95,0.08543
532.36,0.08358
533.76,0.07986
535.17,0.07615
536.58,0.07429
537.98,0.07243
539.39,0.06965
540.80,0.06872
542.20,0.06500
543.61,0.06315
545.02,0.06036
546.42,0.06129
547.83,0.05757
549.24,0.05757
550.64,0.05200
552.05,0.05200
553.45,0.05015
554.86,0.04643
556.27,0.04457
557.67,0.04457
559.08,0.04272
560.49,0.04272
561.89,0.04086
563.30,0.03900
564.71,0.03900
566.11,0.03900
567.52,0.03715
568.93,0.03529
570.33,0.03343
571.74,0.03343
573.15,0.03343
574.55,0.03343
575.96,0.03343
577.36,0.03157
578.77,0.02972
580.18,0.02972
581.58,0.02972
582.99,0.02972
584.40,0.02972
585.80,0.02972
587.21,0.02786
588.62,0.02786
590.02,0.02786
591.43,0.02786
592.84,0.02600
594.24,0.02600
595.65,0.02414
597.06,0.01672
598.46,0.02414
599.87,0.02600
601.27,0.02414
602.68,0.02043
