# NaI(Tl) optical transmittance, digitised from Fig. 2 of
#   R. Mao, L. Zhang, R.-Y. Zhu, IEEE Trans. Nucl. Sci. 55 (2008)
#   2425-2431, doi:10.1109/TNS.2008.2000776
#
# Produced by scripts/digitise_mao_fig2.py. The article PDF is not
# redistributed here; it was obtained from the authors' page at
#   https://www.its.caltech.edu/~rzhu/papers/08_tns_crystal.pdf
#   sha256 945b5d83f98b8e803c6b7f08f26cf8f6e11147aa33b4e3b79fd887c57d05b356
#
# The sample is a cylinder 1.5 X0 = 38.8 mm long (Section III).
# attenuation_length_mm inverts the paper's own transmittance
# expression and is EFFECTIVE: a single-beam transmittance cannot
# separate absorption from scattering.
#
# calibration offset applied: +1.77 nm, from the emission
#   (408.9 vs 410) and excitation
#   (343.5 vs 346) peaks printed in the panel
# recovered cut-off 361.3 nm vs 365 nm stated
#
wavelength_nm,transmittance,attenuation_length_mm
300.30,0.01560,9.829
301.70,0.01560,9.826
303.10,0.01468,9.676
304.50,0.01468,9.674
305.90,0.01468,9.672
307.30,0.01468,9.670
308.70,0.01468,9.668
310.10,0.01468,9.667
311.50,0.01468,9.665
312.90,0.01468,9.663
314.40,0.01468,9.661
315.80,0.01468,9.660
317.20,0.01468,9.658
318.60,0.01468,9.657
320.00,0.01468,9.655
321.40,0.01468,9.654
322.80,0.01376,9.500
324.20,0.01376,9.498
325.60,0.01376,9.497
327.00,0.01468,9.648
328.40,0.01468,9.647
329.80,0.01468,9.645
331.20,0.01468,9.644
332.60,0.01468,9.643
334.00,0.01376,9.489
335.50,0.01468,9.640
336.90,0.01560,9.786
338.30,0.01743,10.067
339.70,0.02202,10.715
342.50,0.01835,10.199
343.20,0.02202,10.712
344.60,0.04587,13.432
345.30,0.04037,12.862
346.00,0.05872,14.684
346.70,0.06239,15.028
347.40,0.07706,16.366
348.10,0.08257,16.855
348.80,0.09725,18.142
349.50,0.11560,19.735
350.20,0.11743,19.892
350.90,0.13211,21.167
351.60,0.20367,27.701
352.30,0.28257,36.129
353.00,0.32110,40.990
360.80,0.40367,53.843
361.50,0.44037,61.184
362.20,0.50275,77.209
362.90,0.52844,85.616
363.60,0.54862,93.240
364.30,0.56697,101.136
365.00,0.57798,106.380
365.70,0.59450,115.149
366.40,0.59633,116.144
367.10,0.61284,126.323
367.80,0.62202,132.611
368.50,0.63486,142.388
369.20,0.64587,151.784
369.90,0.65688,162.310
370.60,0.65872,164.096
371.30,0.66606,171.959
372.70,0.67523,182.668
373.40,0.68624,197.398
374.10,0.69174,205.501
375.50,0.69908,217.160
376.20,0.70275,223.449
376.90,0.71009,237.286
377.60,0.71743,252.776
378.30,0.72294,265.597
379.80,0.72661,274.416
380.50,0.72844,279.054
381.20,0.73028,283.841
381.90,0.73211,288.783
382.60,0.73394,293.888
383.30,0.73761,304.953
384.00,0.73945,310.611
384.70,0.74312,322.903
385.40,0.74495,329.207
386.80,0.75229,357.798
388.20,0.75780,382.253
388.90,0.75963,390.950
390.30,0.76330,409.526
391.70,0.76514,418.884
392.40,0.76697,429.263
393.10,0.76697,428.670
393.80,0.76881,439.527
394.50,0.77156,457.164
395.90,0.77339,468.772
396.60,0.77431,474.795
397.30,0.77615,488.037
398.70,0.77706,493.809
399.40,0.77798,500.482
400.10,0.77890,507.334
400.90,0.77982,514.261
401.60,0.77982,513.478
403.00,0.78165,528.106
403.70,0.78165,527.298
404.40,0.78349,543.574
405.80,0.78440,550.780
407.20,0.78532,558.193
408.60,0.78807,585.471
410.00,0.78899,593.857
411.40,0.78991,602.499
412.80,0.78991,600.564
414.20,0.79083,609.443
415.60,0.79174,618.601
417.00,0.79174,616.637
418.40,0.79358,637.807
419.80,0.79358,635.771
421.20,0.79450,645.808
422.70,0.79633,668.904
424.10,0.79725,680.035
425.50,0.79817,691.555
426.90,0.79908,703.485
428.30,0.80000,715.846
429.70,0.80000,713.496
431.10,0.80092,726.256
432.50,0.80183,739.491
433.90,0.80275,753.230
435.30,0.80275,750.750
436.70,0.80367,764.957
438.10,0.80459,779.721
439.50,0.80459,777.156
440.90,0.80550,792.443
442.30,0.80550,789.854
443.70,0.80550,787.311
445.20,0.80642,802.890
446.60,0.80734,819.301
448.00,0.80734,816.660
449.40,0.80826,833.685
450.80,0.80917,851.444
452.20,0.81009,869.983
453.60,0.81009,867.137
455.00,0.81101,886.415
456.40,0.81193,906.577
457.80,0.81284,927.685
459.20,0.81284,924.590
460.60,0.81376,946.598
462.00,0.81376,943.445
463.40,0.81468,966.413
464.80,0.81468,963.197
466.30,0.81560,986.954
467.70,0.81560,983.675
469.10,0.81743,1038.710
470.50,0.81743,1035.155
471.90,0.81743,1031.661
473.30,0.81743,1028.227
474.70,0.81835,1055.748
476.10,0.81927,1084.784
477.50,0.81927,1081.106
478.90,0.81927,1077.489
480.30,0.82018,1107.832
481.70,0.82110,1139.934
483.10,0.82110,1136.037
484.50,0.82110,1132.205
485.90,0.82202,1165.839
487.40,0.82202,1161.604
488.80,0.82294,1197.078
490.20,0.82385,1234.783
491.60,0.82385,1230.483
493.00,0.82477,1270.398
494.40,0.82477,1265.937
495.80,0.82477,1261.551
497.20,0.82569,1303.628
498.60,0.82661,1348.601
500.00,0.82661,1343.769
501.40,0.82661,1339.018
502.80,0.82661,1334.346
504.20,0.82752,1381.640
505.60,0.82752,1376.762
507.00,0.82844,1427.205
508.40,0.82844,1422.099
509.90,0.82844,1416.721
511.30,0.82936,1470.285
512.70,0.82936,1465.022
514.10,0.82936,1459.846
515.50,0.83028,1516.875
516.90,0.83119,1578.518
518.30,0.83211,1645.361
519.70,0.83211,1639.075
521.10,0.83211,1632.895
522.50,0.83211,1626.817
523.90,0.83211,1620.839
525.30,0.83303,1691.613
526.70,0.83303,1685.267
528.10,0.83303,1679.026
529.50,0.83394,1755.186
531.00,0.83394,1748.069
532.40,0.83394,1741.538
533.80,0.83394,1735.114
535.20,0.83486,1816.732
536.60,0.83578,1906.363
538.00,0.83578,1898.873
539.40,0.83578,1891.506
540.80,0.83670,1988.963
542.20,0.83761,2096.952
543.60,0.83761,2088.207
545.00,0.83761,2079.611
546.40,0.83670,1957.984
547.80,0.83670,1950.552
549.20,0.83670,1943.240
550.60,0.83670,1936.044
552.00,0.83761,2038.719
553.50,0.83853,2152.208
554.90,0.83853,2143.616
556.30,0.83853,2135.164
557.70,0.83945,2260.751
559.10,0.83945,2251.511
560.50,0.84128,2561.858
561.90,0.84128,2550.201
563.30,0.84128,2538.745
564.70,0.84128,2527.485
566.10,0.84128,2516.417
567.50,0.84128,2505.536
568.90,0.84128,2494.836
570.30,0.84128,2484.314
571.70,0.84128,2473.966
573.10,0.84128,2463.787
574.60,0.84220,2632.310
576.00,0.84220,2620.983
577.40,0.84220,2609.844
578.80,0.84220,2598.888
580.20,0.84220,2588.110
581.60,0.84312,2775.910
583.00,0.84312,2763.814
584.40,0.84312,2751.919
585.80,0.84312,2740.219
587.20,0.84312,2728.709
588.60,0.84404,2938.579
590.00,0.84404,2925.556
591.40,0.84404,2912.749
592.80,0.84404,2900.152
594.20,0.84404,2887.761
595.60,0.84404,2875.571
597.10,0.84404,2862.727
598.50,0.84404,2850.937
599.90,0.84404,2839.334
601.30,0.84404,2827.913
602.70,0.84495,3054.769
604.10,0.84495,3041.756
605.50,0.84587,3305.729
606.90,0.84587,3290.728
608.30,0.84587,3275.976
609.70,0.84587,3261.465
611.10,0.84679,3567.019
612.50,0.84771,3935.433
613.90,0.84771,3914.985
615.30,0.84771,3894.899
616.70,0.84679,3500.956
618.20,0.84679,3483.998
619.60,0.84771,3835.371
621.00,0.84771,3816.665
622.40,0.84771,3798.277
623.80,0.84771,3780.199
625.20,0.84771,3762.422
626.60,0.84771,3744.940
628.00,0.84862,4154.472
629.40,0.84862,4133.480
630.80,0.84862,4112.848
632.20,0.84862,4092.569
633.60,0.84862,4072.633
635.00,0.84862,4053.032
636.40,0.84862,4033.757
637.80,0.84862,4014.801
639.20,0.84954,4490.044
640.70,0.84862,3976.516
642.10,0.84862,3958.492
643.50,0.84862,3940.756
644.90,0.84862,3923.303
646.30,0.84862,3906.125
647.70,0.84954,4355.505
649.10,0.84954,4334.643
650.50,0.85046,4894.763
651.90,0.85046,4868.800
653.30,0.85046,4843.289
654.70,0.85046,4818.219
656.10,0.85138,5520.434
657.50,0.85138,5488.340
658.90,0.85138,5456.834
660.30,0.85138,5425.900
661.80,0.85138,5393.376
663.20,0.85229,6289.125
664.60,0.85229,6248.931
666.00,0.85229,6209.515
667.40,0.85229,6170.856
668.80,0.85229,6132.933
670.20,0.85321,7318.465
671.60,0.85321,7265.907
673.00,0.85413,8990.233
674.40,0.85413,8912.116
675.80,0.85413,8835.855
677.20,0.85413,8761.384
678.60,0.85413,8688.641
680.00,0.85413,8617.568
681.40,0.85413,8548.109
682.80,0.85413,8480.208
684.30,0.85413,8409.129
685.70,0.85413,8344.297
687.10,0.85413,8280.873
688.50,0.85413,8218.811
689.90,0.85413,8158.070
691.30,0.85413,8098.607
692.70,0.85413,8040.383
694.10,0.85596,14166.815
695.50,0.85596,13991.928
696.90,0.85596,13822.396
698.30,0.85596,13657.975
699.70,0.85596,13498.441
701.10,0.85596,13343.578
702.50,0.85596,13193.186
703.90,0.85596,13047.074
705.40,0.85596,12895.072
706.80,0.85596,12757.267
708.20,0.85505,9385.952
709.60,0.85505,9313.635
711.00,0.85596,12365.817
712.40,0.85688,18385.339
713.80,0.85688,18115.086
715.20,0.85688,17854.284
716.60,0.85688,17602.447
718.00,0.85688,17359.121
719.40,0.85688,17123.884
720.80,0.85780,31328.567
722.20,0.85780,30579.937
723.60,0.85780,29870.560
725.00,0.85780,29197.431
726.50,0.85780,28513.378
727.90,0.85780,27907.026
729.30,0.85780,27329.413
730.70,0.85780,26778.544
732.10,0.85780,26252.608
733.50,0.85780,25749.951
734.90,0.85780,25269.065
736.30,0.85780,24808.566
737.70,0.85780,24367.188
739.10,0.85872,68833.335
740.50,0.85872,65577.755
741.90,0.85872,62633.214
743.30,0.85872,59957.181
785.50,0.85780,15736.680
786.90,0.85688,10939.586
788.30,0.85688,10869.251
789.70,0.85688,10800.202
