# NaI:Tl -- material specification for the optical simulation.
#
# GENERATED FILE.  Produced by scripts/make_material_variants.py from the models
# in scint/optical.py.  Do not edit by hand: regenerate instead, so that the
# provenance notes below cannot drift away from the code that made the numbers.
#
# VARIANT: emission FWHM = 75 nm
# Wider band: more emission overlapping the absorption edge.
#
# PROVENANCE OF THE NON-OPTICAL PARAMETERS
#
#   src_A = Bonesini, arXiv:2505.06929, Table 1
#   src_B = Miller et al., IEEE TNS 72 197 (2025), arXiv:2403.02668, Table I (Geant4 parameter compilation)
#
# NOTE -- the two sources disagree about this material:
#   light yield   src_A 38,000 ph/MeV   src_B 41,000 ph/MeV      (7.9 %)
#   decay         src_A 250 ns single   src_B 220 ns (96 %) + 1500 ns (4 %)
# The structure of the decay differs, not merely its value. src_B is used here
# because it is the compilation assembled specifically for Geant4 and benchmarked
# against measurement; the disagreement is itself a subject of this study.

name          = NaI_Tl
density_g_cm3 = 3.67                    # src_A; PDG gives 3.667 for pure NaI
composition   = Na:0.153373922,I:0.846626078   # exact, from stoichiometry

scintillation_yield_per_MeV = 41000     # src_B
yield_ratio_1               = 0.96      # src_B
yield_ratio_2               = 0.04      # src_B
time_constant_1_ns          = 220       # src_B
time_constant_2_ns          = 1500      # src_B

# RESOLUTIONSCALE inflates the variance of the photon number above Poisson.
# src_B uses 3.50 for this material, stating that the resolution scale "was
# calculated from the energy resolution" -- that is, fitted to the observable it
# would then be used to reproduce. Using it would make simulated energy
# resolution a fit rather than a prediction, so this study keeps it at 1 and
# reports the statistical resolution as a lower bound. The gap to measurement is
# the non-proportionality and transfer term, which Geant4 does not model.
resolution_scale = 1.0

# --- Refractive index --------------------------------------------------------
# H. H. Li, 'Refractive index of alkali halides and its wavelength and
# temperature derivatives', J. Phys. Chem. Ref. Data 5, 329-528 (1976),
# doi:10.1063/1.555536; coefficients as tabulated by refractiveindex.info
# (database/data/main/NaI/nk/Li.yml, CC0), verified by reproducing the
# classical sodium-D-line value n(589.3 nm) = 1.7745. The database entry
# itself records that the fit 'is based on a single data point'; Jellison et
# al. (2012) identify that point as Spangenberg, Z. Kristallogr. 57, 494-534
# (1923). This is the model used by Mao, Zhang and Zhu, IEEE TNS 55, 2425
# (2008), which in turn is the source cited for NaI:Tl by the Geant4 parameter
# compilation of Miller et al., IEEE TNS 72 197 (2025), arXiv:2403.02668 (Fig.
# 8b).
[RINDEX]
280    1.97595
290    1.95244
300    1.93251
310    1.91541
320    1.90061
330    1.88769
340    1.87633
350    1.86627
360    1.85731
370    1.84929
380    1.84208
390    1.83556
400    1.82965
410    1.82427
420    1.81936
430    1.81486
440    1.81072
450    1.80691
460    1.80339
470    1.80013
480    1.79711
490    1.7943
500    1.79168
510    1.78923
520    1.78695
530    1.78481
540    1.7828
550    1.78091
560    1.77914
570    1.77747
580    1.77589
590    1.7744
600    1.773
610    1.77166
620    1.7704
630    1.7692
640    1.76807
650    1.76699
660    1.76596
670    1.76498
680    1.76405
690    1.76316
700    1.76231

# --- Bulk absorption length --------------------------------------------------
# Urbach-form absorption edge, E_U = 0.175 eV (ASSUMED -- scanned systematic,
# not measured), anchored to L_abs(365 nm) = 59 mm derived in
# scripts/derive_nai_abslength.py from the 50 % cut-off wavelength reported by
# Mao, Zhang and Zhu, IEEE TNS 55, 2425 (2008), Section III; far from the edge
# it saturates at L_bulk = 2000 mm.
[ABSLENGTH_mm]
280    0.167787
290    0.401454
300    0.906134
310    1.94007
320    3.95866
330    7.72859
340    14.483
350    26.1138
360    45.3742
370    76.0227
380    122.772
390    190.844
400    284.92
410    407.504
420    557.135
430    727.426
440    907.851
450    1086.28
460    1252.08
470    1398.17
480    1521.57
490    1622.52
500    1703.25
510    1766.84
520    1816.49
530    1855.07
540    1885.03
550    1908.31
560    1926.46
570    1940.66
580    1951.83
590    1960.66
600    1967.68
610    1973.29
620    1977.81
630    1981.45
640    1984.42
650    1986.84
660    1988.83
670    1990.48
680    1991.84
690    1992.98
700    1993.94

# --- Emission spectrum (1) ---------------------------------------------------
# Gaussian band, peak 415 nm (src_A), FWHM 75 nm. The peak position is well
# established; the SHAPE AND WIDTH ARE ASSUMED. The real band is asymmetric,
# and no open source publishes it as a table -- src_B plots it in Fig. 8b but
# the underlying data sits behind an IEEE DataPort subscription, and the LBNL
# scintillator library lists the peak only. The width is therefore scanned
# (55/65/75 nm) rather than claimed. It is entangled with the absorption edge:
# the blue side of this band runs straight into it. AS TABULATED: the values
# are written straight down as a Gaussian in wavelength, which is what
# digitising a published emission curve produces. Geant4 integrates the table
# over photon ENERGY, so the band it samples is blue-shifted by 3.8 nm
# relative to the curve written here (measured: mean 411.25 nm against the 415
# nm written). This is the baseline because it is what current practice
# produces; the jacobian variant shows what the choice costs.
[SCINTILLATIONCOMPONENT1]
300    0.00147564
305    0.00256924
310    0.0043644
315    0.0072334
320    0.0116965
325    0.018453
330    0.0284037
335    0.0426559
340    0.0625
345    0.0893465
350    0.124616
355    0.169576
360    0.225139
365    0.291632
370    0.368567
375    0.454459
380    0.546726
385    0.641713
390    0.734867
395    0.821058
400    0.895025
405    0.951905
410    0.987753
415    1
420    0.987753
425    0.951905
430    0.895025
435    0.821058
440    0.734867
445    0.641713
450    0.546726
455    0.454459
460    0.368567
465    0.291632
470    0.225139
475    0.169576
480    0.124616
485    0.0893465
490    0.0625
495    0.0426559
500    0.0284037
505    0.018453
510    0.0116965
515    0.0072334
520    0.0043644
525    0.00256924
530    0.00147564
535    0.0008269
540    0.000452087
545    0.000241151
550    0.000125502
555    6.37251e-05
560    3.15695e-05
565    1.52588e-05
570    7.19565e-06
575    3.31067e-06
580    1.48614e-06
585    6.50877e-07
590    2.78122e-07
595    1.1595e-07
600    4.71627e-08

# --- Emission spectrum (2) ---------------------------------------------------
# The two decay components are given the same emission spectrum: no source
# reports a different band for the slow component of NaI:Tl.
[SCINTILLATIONCOMPONENT2]
300    0.00147564
305    0.00256924
310    0.0043644
315    0.0072334
320    0.0116965
325    0.018453
330    0.0284037
335    0.0426559
340    0.0625
345    0.0893465
350    0.124616
355    0.169576
360    0.225139
365    0.291632
370    0.368567
375    0.454459
380    0.546726
385    0.641713
390    0.734867
395    0.821058
400    0.895025
405    0.951905
410    0.987753
415    1
420    0.987753
425    0.951905
430    0.895025
435    0.821058
440    0.734867
445    0.641713
450    0.546726
455    0.454459
460    0.368567
465    0.291632
470    0.225139
475    0.169576
480    0.124616
485    0.0893465
490    0.0625
495    0.0426559
500    0.0284037
505    0.018453
510    0.0116965
515    0.0072334
520    0.0043644
525    0.00256924
530    0.00147564
535    0.0008269
540    0.000452087
545    0.000241151
550    0.000125502
555    6.37251e-05
560    3.15695e-05
565    1.52588e-05
570    7.19565e-06
575    3.31067e-06
580    1.48614e-06
585    6.50877e-07
590    2.78122e-07
595    1.1595e-07
600    4.71627e-08
