# NaI:Tl -- material specification for the optical simulation.
#
# GENERATED FILE.  Produced by scripts/make_material_variants.py from the models
# in scint/optical.py.  Do not edit by hand: regenerate instead, so that the
# provenance notes below cannot drift away from the code that made the numbers.
#
# VARIANT: emission band Jacobian-corrected
# Same 415 nm / 65 nm Gaussian, but tabulated so that the distribution Geant4
# SAMPLES is that Gaussian in wavelength. Geant4 builds the emission CDF by
# integrating the table over photon energy, so writing a wavelength-space
# curve down directly -- what digitising a published figure produces -- makes
# the sampled band 3.8 nm bluer than the curve drawn. Verified in simulation:
# the uncorrected table gives a mean emitted wavelength of 411.25 nm against
# the 415 nm written, matching the analytic expectation of 411.24 nm.
#
# PROVENANCE OF THE NON-OPTICAL PARAMETERS
#
#   src_A = Bonesini, arXiv:2505.06929, Table 1
#   src_B = Miller et al., IEEE TNS 72 197 (2025), arXiv:2403.02668, Table I (Geant4 parameter compilation)
#
# NOTE -- the two sources disagree about this material:
#   light yield   src_A 38,000 ph/MeV   src_B 41,000 ph/MeV      (7.9 %)
#   decay         src_A 250 ns single   src_B 220 ns (96 %) + 1500 ns (4 %)
# The structure of the decay differs, not merely its value. src_B is used here
# because it is the compilation assembled specifically for Geant4 and benchmarked
# against measurement; the disagreement is itself a subject of this study.

name          = NaI_Tl
density_g_cm3 = 3.67                    # src_A; PDG gives 3.667 for pure NaI
composition   = Na:0.153373922,I:0.846626078   # exact, from stoichiometry

scintillation_yield_per_MeV = 41000     # src_B
yield_ratio_1               = 0.96      # src_B
yield_ratio_2               = 0.04      # src_B
time_constant_1_ns          = 220       # src_B
time_constant_2_ns          = 1500      # src_B

# RESOLUTIONSCALE inflates the variance of the photon number above Poisson.
# src_B uses 3.50 for this material, stating that the resolution scale "was
# calculated from the energy resolution" -- that is, fitted to the observable it
# would then be used to reproduce. Using it would make simulated energy
# resolution a fit rather than a prediction, so this study keeps it at 1 and
# reports the statistical resolution as a lower bound. The gap to measurement is
# the non-proportionality and transfer term, which Geant4 does not model.
resolution_scale = 1.0

# --- Refractive index --------------------------------------------------------
# H. H. Li, 'Refractive index of alkali halides and its wavelength and
# temperature derivatives', J. Phys. Chem. Ref. Data 5, 329-528 (1976),
# doi:10.1063/1.555536; coefficients as tabulated by refractiveindex.info
# (database/data/main/NaI/nk/Li.yml, CC0), verified by reproducing the
# classical sodium-D-line value n(589.3 nm) = 1.7745. The database entry
# itself records that the fit 'is based on a single data point'; Jellison et
# al. (2012) identify that point as Spangenberg, Z. Kristallogr. 57, 494-534
# (1923). This is the model used by Mao, Zhang and Zhu, IEEE TNS 55, 2425
# (2008), which in turn is the source cited for NaI:Tl by the Geant4 parameter
# compilation of Miller et al., IEEE TNS 72 197 (2025), arXiv:2403.02668 (Fig.
# 8b).
[RINDEX]
280    1.97595
290    1.95244
300    1.93251
310    1.91541
320    1.90061
330    1.88769
340    1.87633
350    1.86627
360    1.85731
370    1.84929
380    1.84208
390    1.83556
400    1.82965
410    1.82427
420    1.81936
430    1.81486
440    1.81072
450    1.80691
460    1.80339
470    1.80013
480    1.79711
490    1.7943
500    1.79168
510    1.78923
520    1.78695
530    1.78481
540    1.7828
550    1.78091
560    1.77914
570    1.77747
580    1.77589
590    1.7744
600    1.773
610    1.77166
620    1.7704
630    1.7692
640    1.76807
650    1.76699
660    1.76596
670    1.76498
680    1.76405
690    1.76316
700    1.76231

# --- Bulk absorption length --------------------------------------------------
# Urbach-form absorption edge, E_U = 0.175 eV (ASSUMED -- scanned systematic,
# not measured), anchored to L_abs(365 nm) = 59 mm derived in
# scripts/derive_nai_abslength.py from the 50 % cut-off wavelength reported by
# Mao, Zhang and Zhu, IEEE TNS 55, 2425 (2008), Section III; far from the edge
# it saturates at L_bulk = 2000 mm.
[ABSLENGTH_mm]
280    0.167787
290    0.401454
300    0.906134
310    1.94007
320    3.95866
330    7.72859
340    14.483
350    26.1138
360    45.3742
370    76.0227
380    122.772
390    190.844
400    284.92
410    407.504
420    557.135
430    727.426
440    907.851
450    1086.28
460    1252.08
470    1398.17
480    1521.57
490    1622.52
500    1703.25
510    1766.84
520    1816.49
530    1855.07
540    1885.03
550    1908.31
560    1926.46
570    1940.66
580    1951.83
590    1960.66
600    1967.68
610    1973.29
620    1977.81
630    1981.45
640    1984.42
650    1986.84
660    1988.83
670    1990.48
680    1991.84
690    1992.98
700    1993.94

# --- Emission spectrum (1) ---------------------------------------------------
# Gaussian band, peak 415 nm (src_A), FWHM 65 nm. The peak position is well
# established; the SHAPE AND WIDTH ARE ASSUMED. The real band is asymmetric,
# and no open source publishes it as a table -- src_B plots it in Fig. 8b but
# the underlying data sits behind an IEEE DataPort subscription, and the LBNL
# scintillator library lists the peak only. The width is therefore scanned
# (55/65/75 nm) rather than claimed. It is entangled with the absorption edge:
# the blue side of this band runs straight into it. JACOBIAN-CORRECTED: the
# tabulated values are multiplied by (lambda/lambda_0)^2 so that the
# distribution Geant4 actually samples is the Gaussian in wavelength written
# above. Geant4 integrates the table over photon energy, so without this
# factor the sampled band is blue-shifted by 2 sigma^2 / lambda_0 = 3.8 nm.
[SCINTILLATIONCOMPONENT1]
300    8.89277e-05
305    0.000192317
310    0.000402268
315    0.000813836
320    0.00159254
325    0.00301426
330    0.00551843
335    0.0097724
340    0.0167395
345    0.0277363
350    0.0444549
355    0.0689231
360    0.103368
365    0.149966
370    0.210467
375    0.285738
380    0.375273
385    0.476789
390    0.586015
395    0.696784
400    0.801492
405    0.891895
410    0.960167
415    1
420    1.00758
425    0.982159
430    0.926224
435    0.845051
440    0.745907
445    0.636979
450    0.526266
455    0.420657
460    0.32531
465    0.243396
470    0.176189
475    0.123394
480    0.0836116
485    0.0548142
490    0.0347678
495    0.0213364
500    0.0126686
505    0.00727773
510    0.00404511
515    0.00217535
520    0.00113188
525    0.000569819
530    0.000277553
535    0.000130806
540    5.96465e-05
545    2.63158e-05
550    1.12338e-05
555    4.63995e-06
560    1.8543e-06
565    7.17014e-07
570    2.68261e-07
575    9.71113e-08
580    3.40147e-08
585    1.15279e-08
590    3.78024e-09
595    1.19943e-09
600    3.68232e-10

# --- Emission spectrum (2) ---------------------------------------------------
# The two decay components are given the same emission spectrum: no source
# reports a different band for the slow component of NaI:Tl.
[SCINTILLATIONCOMPONENT2]
300    8.89277e-05
305    0.000192317
310    0.000402268
315    0.000813836
320    0.00159254
325    0.00301426
330    0.00551843
335    0.0097724
340    0.0167395
345    0.0277363
350    0.0444549
355    0.0689231
360    0.103368
365    0.149966
370    0.210467
375    0.285738
380    0.375273
385    0.476789
390    0.586015
395    0.696784
400    0.801492
405    0.891895
410    0.960167
415    1
420    1.00758
425    0.982159
430    0.926224
435    0.845051
440    0.745907
445    0.636979
450    0.526266
455    0.420657
460    0.32531
465    0.243396
470    0.176189
475    0.123394
480    0.0836116
485    0.0548142
490    0.0347678
495    0.0213364
500    0.0126686
505    0.00727773
510    0.00404511
515    0.00217535
520    0.00113188
525    0.000569819
530    0.000277553
535    0.000130806
540    5.96465e-05
545    2.63158e-05
550    1.12338e-05
555    4.63995e-06
560    1.8543e-06
565    7.17014e-07
570    2.68261e-07
575    9.71113e-08
580    3.40147e-08
585    1.15279e-08
590    3.78024e-09
595    1.19943e-09
600    3.68232e-10
