# NaI:Tl -- material specification for the optical simulation.
#
# GENERATED FILE.  Produced by scripts/make_material_variants.py from the models
# in scint/optical.py.  Do not edit by hand: regenerate instead, so that the
# provenance notes below cannot drift away from the code that made the numbers.
#
# VARIANT: measured absorption + emission FWHM 75 nm
# The wide end of the emission-band scan, on the measured attenuation.
#
# PROVENANCE OF THE NON-OPTICAL PARAMETERS
#
#   src_A = Bonesini, arXiv:2505.06929, Table 1
#   src_B = Miller et al., IEEE TNS 72 197 (2025), arXiv:2403.02668, Table I (Geant4 parameter compilation)
#
# NOTE -- the two sources disagree about this material:
#   light yield   src_A 38,000 ph/MeV   src_B 41,000 ph/MeV      (7.9 %)
#   decay         src_A 250 ns single   src_B 220 ns (96 %) + 1500 ns (4 %)
# The structure of the decay differs, not merely its value. src_B is used here
# because it is the compilation assembled specifically for Geant4 and benchmarked
# against measurement; the disagreement is itself a subject of this study.

name          = NaI_Tl
density_g_cm3 = 3.67                    # src_A; PDG gives 3.667 for pure NaI
composition   = Na:0.153373922,I:0.846626078   # exact, from stoichiometry

scintillation_yield_per_MeV = 41000     # src_B
yield_ratio_1               = 0.96      # src_B
yield_ratio_2               = 0.04      # src_B
time_constant_1_ns          = 220       # src_B
time_constant_2_ns          = 1500      # src_B

# RESOLUTIONSCALE inflates the variance of the photon number above Poisson.
# src_B uses 3.50 for this material, stating that the resolution scale "was
# calculated from the energy resolution" -- that is, fitted to the observable it
# would then be used to reproduce. Using it would make simulated energy
# resolution a fit rather than a prediction, so this study keeps it at 1 and
# reports the statistical resolution as a lower bound. The gap to measurement is
# the non-proportionality and transfer term, which Geant4 does not model.
resolution_scale = 1.0

# --- Refractive index --------------------------------------------------------
# H. H. Li, 'Refractive index of alkali halides and its wavelength and
# temperature derivatives', J. Phys. Chem. Ref. Data 5, 329-528 (1976),
# doi:10.1063/1.555536; coefficients as tabulated by refractiveindex.info
# (database/data/main/NaI/nk/Li.yml, CC0), verified by reproducing the
# classical sodium-D-line value n(589.3 nm) = 1.7745. The database entry
# itself records that the fit 'is based on a single data point'; Jellison et
# al. (2012) identify that point as Spangenberg, Z. Kristallogr. 57, 494-534
# (1923). This is the model used by Mao, Zhang and Zhu, IEEE TNS 55, 2425
# (2008), which in turn is the source cited for NaI:Tl by the Geant4 parameter
# compilation of Miller et al., IEEE TNS 72 197 (2025), arXiv:2403.02668 (Fig.
# 8b).
[RINDEX]
280    1.97595
290    1.95244
300    1.93251
310    1.91541
320    1.90061
330    1.88769
340    1.87633
350    1.86627
360    1.85731
370    1.84929
380    1.84208
390    1.83556
400    1.82965
410    1.82427
420    1.81936
430    1.81486
440    1.81072
450    1.80691
460    1.80339
470    1.80013
480    1.79711
490    1.7943
500    1.79168
510    1.78923
520    1.78695
530    1.78481
540    1.7828
550    1.78091
560    1.77914
570    1.77747
580    1.77589
590    1.7744
600    1.773
610    1.77166
620    1.7704
630    1.7692
640    1.76807
650    1.76699
660    1.76596
670    1.76498
680    1.76405
690    1.76316
700    1.76231

# --- Bulk absorption length --------------------------------------------------
# Effective attenuation length from the NaI(Tl) transmittance curve of Mao,
# Zhang & Zhu, IEEE Trans. Nucl. Sci. 55 (2008) 2425, Fig. 2, digitised by
# scripts/digitise_mao_fig2.py and inverted with the paper's own transmittance
# expression over its 38.8 mm sample. Calibration was checked against the
# emission and excitation peaks printed inside the panel, and the recovered 50
# % cut-off against the 365 nm stated in the text. This is an EFFECTIVE
# attenuation: a single-beam transmittance does not separate absorption from
# scattering, so implementing it as ABSLENGTH overestimates the loss by
# whatever fraction is scattering.
[ABSLENGTH_mm]
280    9.67605
290    9.67605
300    9.67605
310    9.67605
320    9.67605
330    9.67605
340    10.2543
350    19.8469
360    52.5246
370    162.565
380    275.75
390    405.53
400    506.36
410    593.847
420    638.981
430    718.086
440    782.435
450    841.293
460    936.621
470    1030.39
480    1102.82
490    1225.61
500    1339.27
510    1429.53
520    1628.11
530    1736.8
540    1928.64
550    2038.13
560    2424.59
570    2515.57
580    2630.31
590    2888.59
600    2888.59
610    3347.24
620    3818.23
630    4070.72
640    4090.63
650    4653.28
660    5485.06
670    7124.4
680    8692.15
690    8692.15
700    13480.6

# --- Emission spectrum (1) ---------------------------------------------------
# Gaussian band, peak 415 nm (src_A), FWHM 75 nm. The peak position is well
# established; the SHAPE AND WIDTH ARE ASSUMED. The real band is asymmetric,
# and no open source publishes it as a table -- src_B plots it in Fig. 8b but
# the underlying data sits behind an IEEE DataPort subscription, and the LBNL
# scintillator library lists the peak only. The width is therefore scanned
# (55/65/75 nm) rather than claimed. It is entangled with the absorption edge:
# the blue side of this band runs straight into it. AS TABULATED: the values
# are written straight down as a Gaussian in wavelength, which is what
# digitising a published emission curve produces. Geant4 integrates the table
# over photon ENERGY, so the band it samples is blue-shifted by 3.8 nm
# relative to the curve written here (measured: mean 411.25 nm against the 415
# nm written). This is the baseline because it is what current practice
# produces; the jacobian variant shows what the choice costs.
[SCINTILLATIONCOMPONENT1]
300    0.00147564
305    0.00256924
310    0.0043644
315    0.0072334
320    0.0116965
325    0.018453
330    0.0284037
335    0.0426559
340    0.0625
345    0.0893465
350    0.124616
355    0.169576
360    0.225139
365    0.291632
370    0.368567
375    0.454459
380    0.546726
385    0.641713
390    0.734867
395    0.821058
400    0.895025
405    0.951905
410    0.987753
415    1
420    0.987753
425    0.951905
430    0.895025
435    0.821058
440    0.734867
445    0.641713
450    0.546726
455    0.454459
460    0.368567
465    0.291632
470    0.225139
475    0.169576
480    0.124616
485    0.0893465
490    0.0625
495    0.0426559
500    0.0284037
505    0.018453
510    0.0116965
515    0.0072334
520    0.0043644
525    0.00256924
530    0.00147564
535    0.0008269
540    0.000452087
545    0.000241151
550    0.000125502
555    6.37251e-05
560    3.15695e-05
565    1.52588e-05
570    7.19565e-06
575    3.31067e-06
580    1.48614e-06
585    6.50877e-07
590    2.78122e-07
595    1.1595e-07
600    4.71627e-08

# --- Emission spectrum (2) ---------------------------------------------------
# The two decay components are given the same emission spectrum: no source
# reports a different band for the slow component of NaI:Tl.
[SCINTILLATIONCOMPONENT2]
300    0.00147564
305    0.00256924
310    0.0043644
315    0.0072334
320    0.0116965
325    0.018453
330    0.0284037
335    0.0426559
340    0.0625
345    0.0893465
350    0.124616
355    0.169576
360    0.225139
365    0.291632
370    0.368567
375    0.454459
380    0.546726
385    0.641713
390    0.734867
395    0.821058
400    0.895025
405    0.951905
410    0.987753
415    1
420    0.987753
425    0.951905
430    0.895025
435    0.821058
440    0.734867
445    0.641713
450    0.546726
455    0.454459
460    0.368567
465    0.291632
470    0.225139
475    0.169576
480    0.124616
485    0.0893465
490    0.0625
495    0.0426559
500    0.0284037
505    0.018453
510    0.0116965
515    0.0072334
520    0.0043644
525    0.00256924
530    0.00147564
535    0.0008269
540    0.000452087
545    0.000241151
550    0.000125502
555    6.37251e-05
560    3.15695e-05
565    1.52588e-05
570    7.19565e-06
575    3.31067e-06
580    1.48614e-06
585    6.50877e-07
590    2.78122e-07
595    1.1595e-07
600    4.71627e-08
