# NaI:Tl -- material specification for the optical simulation.
#
# GENERATED FILE.  Produced by scripts/make_material_variants.py from the models
# in scint/optical.py.  Do not edit by hand: regenerate instead, so that the
# provenance notes below cannot drift away from the code that made the numbers.
#
# VARIANT: measured absorption + Jellison 2012 refractive index
# The refractive-index alternative, on top of the measured attenuation.
#
# PROVENANCE OF THE NON-OPTICAL PARAMETERS
#
#   src_A = Bonesini, arXiv:2505.06929, Table 1
#   src_B = Miller et al., IEEE TNS 72 197 (2025), arXiv:2403.02668, Table I (Geant4 parameter compilation)
#
# NOTE -- the two sources disagree about this material:
#   light yield   src_A 38,000 ph/MeV   src_B 41,000 ph/MeV      (7.9 %)
#   decay         src_A 250 ns single   src_B 220 ns (96 %) + 1500 ns (4 %)
# The structure of the decay differs, not merely its value. src_B is used here
# because it is the compilation assembled specifically for Geant4 and benchmarked
# against measurement; the disagreement is itself a subject of this study.

name          = NaI_Tl
density_g_cm3 = 3.67                    # src_A; PDG gives 3.667 for pure NaI
composition   = Na:0.153373922,I:0.846626078   # exact, from stoichiometry

scintillation_yield_per_MeV = 41000     # src_B
yield_ratio_1               = 0.96      # src_B
yield_ratio_2               = 0.04      # src_B
time_constant_1_ns          = 220       # src_B
time_constant_2_ns          = 1500      # src_B

# RESOLUTIONSCALE inflates the variance of the photon number above Poisson.
# src_B uses 3.50 for this material, stating that the resolution scale "was
# calculated from the energy resolution" -- that is, fitted to the observable it
# would then be used to reproduce. Using it would make simulated energy
# resolution a fit rather than a prediction, so this study keeps it at 1 and
# reports the statistical resolution as a lower bound. The gap to measurement is
# the non-proportionality and transfer term, which Geant4 does not model.
resolution_scale = 1.0

# --- Refractive index --------------------------------------------------------
# G. E. Jellison Jr., L. A. Boatner, J. O. Ramey, J. A. Kolopus, L. A. Ramey,
# D. J. Singh, 'Refractive index of sodium iodide', J. Appl. Phys. 111, 043521
# (2012), doi:10.1063/1.3689746. Minimum-deviation measurement at six
# wavelengths from 436 to 633 nm, fitted by the authors to a one-term
# Sellmeier form with chi^2 = 1.02. The coefficients used here, n^2 = 1 +
# 1.994 lambda^2/(lambda^2 - 0.176^2) with lambda in um, are the paper's fit
# as transcribed by refractiveindex.info
# (database/data/main/NaI/nk/Jellison.yml). Table I of the paper (consulted 14
# September 2026) lists 435.8 nm 1.839, 488.0 1.814, 514.5 1.804, 546.1 1.799,
# 578.0 1.786, 633.0 1.778, all +- 0.002; the fit reproduces them with
# residuals of at most 0.003 (546.1 nm), four within +- 0.002, and chi^2/ndf =
# 1.01 against the published 1.02. The abstract's '633 nm (n = 1.786)' is a
# typographical error -- it is the 578 nm value. An earlier version of this
# file, working from the abstract alone, rejected the fit and pinned a
# one-term form to the two abstract values, giving 1.8504 at 415 nm against
# the fit's 1.8524; corrected. EXTRAPOLATION: the source claims validity over
# 436-633 nm, but 23 of the 43 tabulated points lie outside it (280-700 nm).
# For this material that is unavoidable -- the emission band reaches below
# every published measurement of its own refractive index.
[RINDEX]
280    2.07278
290    2.03879
300    2.01009
310    1.98556
320    1.96438
330    1.94593
340    1.92974
350    1.91543
360    1.9027
370    1.89133
380    1.88111
390    1.87188
400    1.86352
410    1.85592
420    1.84898
430    1.84263
440    1.83679
450    1.83142
460    1.82646
470    1.82187
480    1.81761
490    1.81366
500    1.80997
510    1.80654
520    1.80332
530    1.80032
540    1.7975
550    1.79485
560    1.79236
570    1.79001
580    1.7878
590    1.78571
600    1.78374
610    1.78187
620    1.7801
630    1.77842
640    1.77683
650    1.77532
660    1.77388
670    1.77251
680    1.77121
690    1.76996
700    1.76877

# --- Bulk absorption length --------------------------------------------------
# Effective attenuation length from the NaI(Tl) transmittance curve of Mao,
# Zhang & Zhu, IEEE Trans. Nucl. Sci. 55 (2008) 2425, Fig. 2, digitised by
# scripts/digitise_mao_fig2.py and inverted with the paper's own transmittance
# expression over its 38.8 mm sample. Calibration was checked against the
# emission and excitation peaks printed inside the panel, and the recovered 50
# % cut-off against the 365 nm stated in the text. This is an EFFECTIVE
# attenuation: a single-beam transmittance does not separate absorption from
# scattering, so implementing it as ABSLENGTH overestimates the loss by
# whatever fraction is scattering. Inverted with the jellison2012 dispersion,
# matching this variant's RINDEX.
[ABSLENGTH_mm]
280    9.73648
290    9.73648
300    9.73648
310    9.73648
320    9.73648
330    9.73648
340    10.3008
350    20.0105
360    53.5724
370    171.758
380    300.704
390    457.006
400    582.412
410    692.684
420    747.015
430    846.746
440    924.9
450    996.315
460    1118.5
470    1235.77
480    1329.68
490    1489.15
500    1638.01
510    1760.57
520    2028.22
530    2165.49
540    2444.49
550    2579.88
560    3171.97
570    3311.62
580    3461.39
590    3792.41
600    3792.41
610    4506.22
620    5261.78
630    5608.92
640    5662.21
650    6512.18
660    8145.05
670    11842.2
680    16255.8
690    16255.8
700    38252.8

# --- Emission spectrum (1) ---------------------------------------------------
# Gaussian band, peak 415 nm (src_A), FWHM 65 nm. The peak position is well
# established; the SHAPE AND WIDTH ARE ASSUMED. The real band is asymmetric,
# and no open source publishes it as a table -- src_B plots it in Fig. 8b but
# the underlying data sits behind an IEEE DataPort subscription, and the LBNL
# scintillator library lists the peak only. The width is therefore scanned
# (55/65/75 nm) rather than claimed. It is entangled with the absorption edge:
# the blue side of this band runs straight into it. AS TABULATED: the values
# are written straight down as a Gaussian in wavelength, which is what
# digitising a published emission curve produces. Geant4 integrates the table
# over photon ENERGY, so the band it samples is blue-shifted by 3.8 nm
# relative to the curve written here (measured: mean 411.25 nm against the 415
# nm written). This is the baseline because it is what current practice
# produces; the jacobian variant shows what the choice costs.
[SCINTILLATIONCOMPONENT1]
300    0.000170173
305    0.000356053
310    0.000720922
315    0.00141258
320    0.00267846
325    0.00491484
330    0.00872737
335    0.0149971
340    0.0249392
345    0.0401334
350    0.0625
355    0.0941899
360    0.137366
365    0.193867
370    0.264775
375    0.349947
380    0.447586
385    0.553989
390    0.663553
395    0.769131
400    0.862731
405    0.936483
410    0.983728
